beta, magnetization, m2, energy, heat_capacity
0.1, 0.0617219, 0.00604316, -0.206381, 0.0213866, 
0.12, 0.0654328, 0.00686393, -0.245312, 0.0306148, 
0.14, 0.0691328, 0.00752181, -0.288413, 0.0436294, 
0.16, 0.0731953, 0.00838961, -0.333553, 0.0584722, 
0.18, 0.0785328, 0.00965135, -0.377972, 0.0754872, 
0.2, 0.0833375, 0.0108626, -0.428484, 0.0989642, 
0.22, 0.0919406, 0.0132864, -0.475681, 0.120877, 
0.24, 0.0997516, 0.0153585, -0.531134, 0.154645, 
0.26, 0.110692, 0.0191471, -0.585409, 0.196617, 
0.28, 0.119031, 0.0219743, -0.642294, 0.229723, 
0.3, 0.137069, 0.0290616, -0.704187, 0.290737, 
0.305, 0.138473, 0.0300124, -0.722753, 0.291653, 
0.31, 0.142531, 0.0314575, -0.734378, 0.31814, 
0.315, 0.152028, 0.0355788, -0.755038, 0.34828, 
0.32, 0.153677, 0.036897, -0.772697, 0.36539, 
0.325, 0.159473, 0.0391081, -0.7865, 0.374683, 
0.33, 0.166977, 0.042551, -0.803366, 0.374823, 
0.335, 0.171681, 0.0451765, -0.822691, 0.414181, 
0.34, 0.18265, 0.0507686, -0.843059, 0.433086, 
0.345, 0.188069, 0.0538226, -0.859872, 0.452423, 
0.35, 0.196205, 0.0583101, -0.881634, 0.499907, 
0.355, 0.21143, 0.066991, -0.901469, 0.512446, 
0.36, 0.219942, 0.0726472, -0.921878, 0.562022, 
0.365, 0.231036, 0.0796138, -0.942016, 0.583461, 
0.37, 0.247378, 0.0913973, -0.969006, 0.637517, 
0.375, 0.265883, 0.103036, -0.992916, 0.671367, 
0.38, 0.285537, 0.117062, -1.01525, 0.748826, 
0.385, 0.305319, 0.132049, -1.03952, 0.806996, 
0.39, 0.329975, 0.152299, -1.06787, 0.902675, 
0.395, 0.357141, 0.174821, -1.09698, 0.952571, 
0.4, 0.392877, 0.205645, -1.13408, 1.08256, 
0.405, 0.42597, 0.235685, -1.16638, 1.17816, 
0.41, 0.462144, 0.270427, -1.20278, 1.28632, 
0.415, 0.505178, 0.311965, -1.24509, 1.36812, 
0.42, 0.547303, 0.355737, -1.28341, 1.45898, 
0.425, 0.589287, 0.40128, -1.32395, 1.53508, 
0.43, 0.6314, 0.446788, -1.36796, 1.49932, 
0.435, 0.672017, 0.49488, -1.40817, 1.52624, 
0.44, 0.712991, 0.544916, -1.45413, 1.49528, 
0.445, 0.743541, 0.584476, -1.48771, 1.46474, 
0.45, 0.767711, 0.615054, -1.51614, 1.37593, 
0.455, 0.793588, 0.649799, -1.54855, 1.28187, 
0.46, 0.816747, 0.682847, -1.57912, 1.20885, 
0.465, 0.834705, 0.709951, -1.60888, 1.13971, 
0.47, 0.851442, 0.736162, -1.63476, 1.05324, 
0.475, 0.865873, 0.757297, -1.65464, 0.94466, 
0.48, 0.876256, 0.774302, -1.67699, 0.899248, 
0.485, 0.888802, 0.794804, -1.69733, 0.835938, 
0.49, 0.896967, 0.808731, -1.71524, 0.808525, 
0.495, 0.90418, 0.821135, -1.73002, 0.777309, 
0.5, 0.911928, 0.834261, -1.74521, 0.701733, 
0.52, 0.932345, 0.870917, -1.79453, 0.593556, 
0.54, 0.948164, 0.900133, -1.83533, 0.51235, 
0.56, 0.958734, 0.919937, -1.86479, 0.439035, 
0.58, 0.967153, 0.935929, -1.88989, 0.36435, 
0.6, 0.973816, 0.948698, -1.90955, 0.316532, 
0.62, 0.978744, 0.958232, -1.92552, 0.280485, 
0.64, 0.982688, 0.965889, -1.93833, 0.228366, 
0.66, 0.98555, 0.971473, -1.94783, 0.199166, 
0.68, 0.988119, 0.976516, -1.95674, 0.184008, 
0.7, 0.989989, 0.980187, -1.96318, 0.16069, 
0.72, 0.991895, 0.983945, -1.96986, 0.140628, 
0.74, 0.993327, 0.986765, -1.97514, 0.116698, 
0.76, 0.994239, 0.988568, -1.97838, 0.105455, 
0.78, 0.995002, 0.990079, -1.98111, 0.102987, 
0.8, 0.995925, 0.991906, -1.9845, 0.0849973, 
0.82, 0.996616, 0.993275, -1.9871, 0.073952, 
0.84, 0.997239, 0.994512, -1.98944, 0.064152, 
0.86, 0.997653, 0.995334, -1.99093, 0.0582191, 
0.88, 0.998072, 0.996164, -1.99252, 0.0480495, 
0.9, 0.998419, 0.996854, -1.99388, 0.0403731, 
0.92, 0.998547, 0.997109, -1.99438, 0.0404067, 
0.94, 0.998716, 0.997444, -1.99502, 0.0358321, 
0.96, 0.999025, 0.998059, -1.99619, 0.0293679, 
0.98, 0.999158, 0.998324, -1.99673, 0.0267923, 
